x,AdaBoostClassifier,BaggingClassifier,BernoulliNB,CalibratedClassifierCV,CategoricalNB,ComplementNB,DecisionTreeClassifier,DummyClassifier,ExtraTreeClassifier,ExtraTreesClassifier,GaussianNB,GaussianProcessClassifier,GradientBoostingClassifier,HistGradientBoostingClassifier,KNeighborsClassifier,LabelPropagation,LabelSpreading,LinearDiscriminantAnalysis,LinearSVC,LogisticRegression,LogisticRegressionCV,MLPClassifier,MultinomialNB,NearestCentroid,NuSVC,PassiveAggressiveClassifier,Perceptron,QuadraticDiscriminantAnalysis,RadiusNeighborsClassifier,RandomForestClassifier,RidgeClassifier,RidgeClassifierCV,SGDClassifier,SVC
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3890909090909091,,0.40727272727272734,0.0,0.2,0.0,0.0,0.0,0.0,0.13999999999999999,0.0
2,0.0,0.0,0.1,0.02,0.1,0.21636363636363637,0.0,0.0,0.0,0.0,0.27272727272727276,0.0,0.0,0.0,0.13999999999999999,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4672727272727272,,0.1,0.06,0.27272727272727276,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,0.1,0.2545454545454545,0.12000000000000002,0.2727272727272727,0.17454545454545456,0.1,0.0,0.1,0.1,0.35090909090909095,0.02,0.13999999999999999,0.13999999999999999,0.2,0.16,0.16,0.2545454545454545,0.06000000000000001,0.06000000000000001,0.0,0.02,0.0,0.4872727272727272,,0.12,0.08,0.35090909090909095,0.02,0.1,0.06000000000000001,0.0,0.26,0.1
4,0.13818181818181818,0.13636363636363638,0.2527272727272727,0.1181818181818182,0.35090909090909095,0.29454545454545455,0.13636363636363635,0.0,0.09818181818181818,0.1181818181818182,0.5072727272727272,0.1,0.19636363636363635,0.1,0.16,0.15818181818181817,0.19818181818181818,0.27272727272727276,0.1181818181818182,0.1181818181818182,0.04,0.1181818181818182,0.0,0.5472727272727272,,0.33636363636363636,0.1927272727272727,0.5072727272727272,0.04,0.19636363636363635,0.1181818181818182,0.08,0.13636363636363638,0.13818181818181816
5,0.21272727272727274,0.21454545454545454,0.2927272727272727,0.13818181818181818,0.3290909090909091,0.27454545454545454,0.1745454545454545,0.0,0.13636363636363635,0.15636363636363637,0.5854545454545456,0.07818181818181819,0.1745454545454545,0.1545454545454545,0.13818181818181818,0.15636363636363637,0.15636363636363637,0.3090909090909091,0.1181818181818182,0.1181818181818182,0.1181818181818182,0.07818181818181819,0.0,0.5254545454545455,,0.4127272727272727,0.09818181818181819,0.6236363636363637,,0.1745454545454545,0.1181818181818182,0.1181818181818182,0.15818181818181817,0.1181818181818182
6,0.25090909090909086,0.32727272727272727,0.33090909090909093,0.17454545454545453,0.40727272727272723,0.35090909090909095,0.2909090909090909,0.0,0.29090909090909095,0.25272727272727274,0.6254545454545454,0.1181818181818182,0.3472727272727273,0.3272727272727273,0.17636363636363636,0.23272727272727273,0.23272727272727273,0.3690909090909091,0.23454545454545456,0.19454545454545452,0.27090909090909093,0.13818181818181816,0.0,0.5454545454545455,,0.1,0.19636363636363635,0.6254545454545455,,0.3109090909090909,0.23454545454545456,0.1545454545454545,0.2727272727272727,0.13818181818181816
7,0.36363636363636365,0.21818181818181817,0.31272727272727274,0.19818181818181818,0.46545454545454545,0.510909090909091,0.3345454545454546,0.0,0.19636363636363635,0.27454545454545454,0.6236363636363638,0.1,0.309090909090909,0.2727272727272727,0.13818181818181818,0.2363636363636364,0.2363636363636364,0.48545454545454547,0.21636363636363637,0.23636363636363633,0.22000000000000003,0.16,0.0,0.6036363636363636,,0.43272727272727274,0.21454545454545454,0.6254545454545455,,0.2563636363636364,0.21636363636363637,0.12,0.4545454545454545,0.19818181818181818
8,0.40181818181818185,0.33454545454545453,0.31272727272727274,0.2163636363636364,0.4836363636363636,0.4909090909090909,0.4127272727272727,0.0,0.37090909090909097,0.29454545454545455,0.6418181818181818,0.13999999999999999,0.34909090909090906,0.35090909090909095,0.1545454545454545,0.27454545454545454,0.2545454545454545,0.4672727272727273,0.27272727272727276,0.27272727272727276,0.2563636363636364,0.13999999999999999,0.0,0.6218181818181818,,0.43454545454545457,0.29454545454545455,0.6418181818181818,,0.31272727272727274,0.2927272727272728,0.15818181818181817,0.2709090909090909,0.17636363636363636
9,0.42363636363636364,0.3145454545454546,0.44727272727272727,0.3109090909090909,0.5199999999999999,0.4909090909090909,0.3927272727272727,0.0,0.42727272727272725,0.36727272727272725,0.7000000000000001,0.23272727272727273,0.44363636363636366,0.35090909090909095,0.15636363636363637,0.2909090909090909,0.2909090909090909,0.5254545454545455,0.3109090909090909,0.3109090909090909,0.33090909090909093,0.23454545454545456,0.0,0.6799999999999999,,0.3709090909090909,0.44727272727272727,0.6818181818181819,,0.3890909090909091,0.3290909090909091,0.2909090909090909,0.5127272727272727,0.23272727272727275
10,0.38909090909090904,0.33272727272727265,0.509090909090909,0.3745454545454545,0.5836363636363637,0.4763636363636364,0.3890909090909091,0.0,0.2690909090909091,0.3527272727272727,0.7418181818181819,0.2563636363636364,0.4290909090909091,0.41090909090909084,0.29454545454545455,0.3109090909090909,0.3109090909090909,0.5072727272727272,0.4290909090909091,0.4290909090909091,0.3927272727272727,0.3163636363636363,0.0,0.7036363636363637,,0.5690909090909091,0.4545454545454546,0.7218181818181819,,0.3327272727272727,0.4290909090909091,0.29454545454545455,0.39090909090909093,0.25636363636363635
