x,ARDRegression,AdaBoostRegressor,BaggingRegressor,BayesianRidge,CCA,DecisionTreeRegressor,DummyRegressor,ElasticNet,ElasticNetCV,ExtraTreeRegressor,ExtraTreesRegressor,GammaRegressor,GaussianProcessRegressor,GradientBoostingRegressor,HistGradientBoostingRegressor,HuberRegressor,IsotonicRegression,KNeighborsRegressor,KernelRidge,Lars,LarsCV,Lasso,LassoCV,LassoLars,LassoLarsCV,LassoLarsIC,LinearRegression,LinearSVR,MLPRegressor,MultiTaskElasticNet,MultiTaskElasticNetCV,MultiTaskLasso,MultiTaskLassoCV,NuSVR,OrthogonalMatchingPursuit,OrthogonalMatchingPursuitCV,PLSCanonical,PLSRegression,PassiveAggressiveRegressor,PoissonRegressor,QuantileRegressor,RANSACRegressor,RadiusNeighborsRegressor,RandomForestRegressor,Ridge,RidgeCV,SGDRegressor,SVR,TheilSenRegressor,TransformedTargetRegressor,TweedieRegressor
1,12.500658762695902,13.244304441450625,12.567147554803288,12.500658762695902,,12.664690586413284,13.27921312272904,13.049370697325108,12.463030352059516,12.664690586413286,12.664690586413286,,12.664687675412651,12.664680217127954,12.553397603130351,12.82728328910397,12.548603811814667,15.247633412526742,32.54701254079234,12.500824878922916,12.500824878922916,12.747404379051247,12.465712425156239,12.747404379051247,12.500824878922916,12.500824878922916,12.500824878922916,13.732049603381176,59.451241144796334,,,,,12.722714587400157,12.500824878922916,,,,17.706829252010653,12.484118595978561,,14.48131267503683,13.27921312272904,12.597584030846363,12.495857591561226,12.495857591561203,12.512317753776866,12.96866352412098,17.2353319932569,12.500824878922916,13.093426849462002
2,12.422117724004595,13.778620245472064,12.613847511904186,12.412659920013681,,12.63177019159028,13.27921312272904,13.002817571472937,12.347956869476857,12.635936599632002,12.625262293617475,,12.707993525263308,12.639703225001679,12.476690657450048,12.677003670553434,,14.682565166296424,22.353494082362904,12.416275602574304,12.416275602574304,12.747588552626468,12.36327477000873,12.747588879542626,12.416275602574304,12.416275602574304,12.416275602574304,13.864768252478752,44.67136694477248,,,,,12.520314867147254,12.500824878922915,12.416275602574304,,12.416275602574306,13.367109425707016,12.365487778603867,,13.847642435848433,12.846818909568539,12.512270677666901,12.405437135092198,12.469463367484245,12.51806978510749,12.751307267394264,16.442288234197527,12.416275602574304,13.033311744713567
3,12.24156676188442,13.428954111402955,12.301246568684256,12.208013220538719,,12.374963120361487,13.27921312272904,12.915984031707103,12.113883806375105,12.374963120361485,12.357160663076705,,12.464960173568377,12.372700125666451,12.128501469834928,12.453376515312453,,13.795812448073045,19.76727024607049,12.22146418495329,12.127529700664002,12.710119026932745,12.152218215140284,12.710120454415538,12.127529700664002,12.22146418495329,12.22146418495329,13.724750810124881,31.115717552333958,,,,,12.409828939506816,12.500824878922915,12.277230773255672,,12.218696148061547,12.655383549113134,12.161242678789325,,13.738702691048141,12.466433841736539,12.244815027227604,12.207122438050586,12.147421018907458,12.293325963577772,12.689704571217103,15.847365539880677,12.22146418495329,12.94447287241091
4,12.015260773007233,13.097121235177537,11.936976172997726,11.961810539065684,,12.320026362602576,13.27921312272904,12.851790774877827,11.86147315241168,12.313651272477781,12.294189194316491,,12.413832168631812,12.320505197800772,11.815374497037384,12.201776525867778,,12.686577756084803,16.698691951677297,11.982484561209706,11.902390064381217,12.700760041812165,11.923072526861318,12.700759134462976,11.902390064381217,11.982484561209706,11.982484561209706,13.049168453492616,23.24393023386275,,,,,12.20559974691729,12.500824878922915,12.027350432834812,,11.951167625697332,12.250308214030717,11.87479970932745,,13.469146456728323,12.232916972224176,12.123006322753092,11.960462970581878,11.912985358117432,12.151318016755207,12.448539313143732,14.435475989223725,11.982484561209706,12.873145841262877
5,11.56892755466883,12.303315435553262,11.59591944570405,11.5199900767401,,12.11486010620173,13.27921312272904,12.783944161173503,11.473231275177417,12.2658384525067,11.962350905415253,,12.855161896093747,11.836502211487657,11.387513843774466,11.721772153522366,,12.123518699464908,14.374022194843793,11.53141573556558,11.573984478493218,12.68013108386631,11.55104693238463,12.680131627978893,11.573984478493218,11.53141573556558,11.53141573556558,12.209031450542875,18.32140960300914,,,,,11.930690208877932,12.500824878922915,11.575137516979279,,11.49258759110629,13.195819644400862,11.44541350067577,,20.981572647453753,,11.791383610308335,11.514519558002835,11.502602859279115,11.716176297033883,12.259347612995935,13.027381283432218,11.53141573556558,12.800034379439373
6,11.406416108717373,13.076258211364554,11.961300941978946,11.351355254962336,,12.482235711037498,13.27921312272904,12.766290484822248,11.31016076405232,12.306433058145416,12.172895171825562,,984.9137634323098,11.794306772241157,11.04618916031147,11.512809009084936,,11.95408270412398,13.143740275862319,11.370095516166778,11.434515102386957,12.68013108386631,11.400945099435098,12.680131627978893,11.434515102386957,11.370095516166778,11.370095516166776,11.713231807724666,13.916039109333903,,,,,11.913796360678976,12.500824878922915,11.454427433370228,,11.320583987907456,13.574960583122932,11.28151685607396,,13.101066153528105,,11.574099358455209,11.352238172167308,11.316422333408683,11.61636722416435,12.246219992001102,12.18148870380992,11.370095516166776,12.765427773316253
7,10.702546527689073,12.29506187387488,11.65207742483057,10.648824098634455,,12.66825427831945,13.27921312272904,12.558237666607722,10.61661674820608,12.933455765495832,12.380064452109032,,729.2544976129846,11.820539808264002,10.729857261255388,10.749372178731797,,11.215835345730905,12.098898186041495,10.666657571667855,10.700776605293061,12.136833129106916,10.6796792730473,12.13683326875553,10.700776605293061,10.666657571667855,10.666657571667853,10.907225539707586,12.218378018522634,,,,,11.514703039817237,12.515169117212078,11.008949961715219,,10.610652067192127,10.920739568012468,10.573821027039896,,12.373946472189663,,11.402825739211778,10.651904551797976,10.638589643453175,10.879743197400293,11.811114349758451,11.132949629006786,10.666657571667853,12.59249563761492
8,10.530187156718624,12.309341067815595,11.722185909136005,10.478491449837149,,12.845981977458663,13.27921312272904,12.518720299015735,10.43203260040671,11.899580125932331,11.975158969023772,,374.4136713144747,11.545758317009213,10.573484326193753,10.500904319388374,,11.02864329756536,11.639363525540352,10.506207770669633,10.544342751695803,12.136920778111536,10.513752181918033,12.13692108183433,10.544342751695803,10.548044677345192,10.506207770669635,10.678722676888405,11.229685840502679,,,,,11.382548230324655,12.515169117212078,11.005701277819016,,10.427814552709814,12.363432787431408,10.402072511123707,,11.81690603845715,,11.206512449174157,10.486330411021983,10.452067299684131,10.671895944315363,11.634988061443481,10.775229417414621,10.506207770669635,12.538391547537314
9,10.254870452035727,11.83840319350944,11.105391033707338,10.18508205732512,,12.565335116885494,13.27921312272904,12.464592475442418,10.155613258541925,13.58759481285801,11.48554819756823,,79.48137257963967,10.37897642927316,10.265830955409236,10.18902745912501,,10.921784955870043,10.861344688226445,10.210752918823786,10.250706913132172,12.133048575360052,10.247059122314274,12.133048877460057,10.250706913132172,10.210752918823786,10.210752918823786,10.177666156938107,10.49543942742591,,,,,11.383919951440259,12.515169117212078,11.066420415303751,,10.10284205533447,10.940726643756152,10.153855874130388,,11.346404992871417,,10.759865469966433,10.189789578918324,10.15486595465776,10.187995394832376,11.59233532837518,10.250741592677631,10.210752918823786,12.471128572729757
10,9.9415103745951,14.144788670078494,10.530841263446227,9.865947343134957,,14.250317451841786,13.27921312272904,12.206769050365034,9.82566517686297,14.617371110742363,10.510474379950162,,294.98731825643654,10.737859184800081,9.947493896899106,9.88546598811148,,10.480052473666108,10.56304935360467,9.896979811741275,9.932497835607682,11.626778086656367,9.929289613112521,11.626778518907834,9.932497835607682,9.894730005372143,9.896979811741277,9.82354043140885,9.972765767776881,,,,,11.250094875802121,12.18815245494109,10.892596268200526,,9.784311711633748,10.670272049328991,9.813792370660604,,10.783836748186836,,10.453440266597099,9.872351507606899,9.800552474328985,9.872351997746973,11.391713663941648,9.91937553700203,9.896979811741277,12.257934804971951
