x,accuracy,precision,recall,f1,pr_auc
1,0.8961451247165533,0.0,0.0,0.0,0.5519274376417233
2,0.8961451247165533,0.0,0.0,0.0,0.3868357155596321
3,0.8961451247165533,0.0,0.0,0.0,0.41153508480212836
4,0.887981859410431,0.06,0.06,0.06,0.2485251897953719
5,0.887981859410431,0.06,0.06,0.06,0.14351792913291683
6,0.887981859410431,0.05,0.04,0.04444444444444444,0.3039448629560422
7,0.9002267573696144,0.6666666666666667,0.12000000000000002,0.1893939393939394,0.4509330160978421
8,0.8981859410430839,0.5,0.18,0.23440285204991085,0.4953321606276382
9,0.9205112347969491,0.77,0.3490909090909091,0.4741984486102133,0.6270833083837786
10,0.9225520511234798,0.7476190476190476,0.4290909090909091,0.5384687208216621,0.6466202884124056
11,0.9185116470830756,0.736111111111111,0.43272727272727274,0.5262155388471179,0.6555478257892283
12,0.9205112347969491,0.6992857142857142,0.429090909090909,0.5280718954248366,0.6986488055327433
13,0.9307359307359307,0.7885714285714286,0.4709090909090909,0.584607843137255,0.7258223895734434
14,0.9348381776953205,0.7964285714285715,0.5327272727272727,0.6256209150326797,0.6998172307351984
15,0.9531024531024531,0.9142857142857143,0.6036363636363636,0.722156862745098,0.7554313779253611
16,0.9470006184291899,0.865079365079365,0.5854545454545454,0.6917698658410733,0.7516068850415648
17,0.949020820449392,0.8761904761904763,0.5836363636363636,0.6976470588235294,0.7672231208830391
18,0.9490414347557206,0.8253968253968254,0.6454545454545454,0.7219814241486069,0.7925648682113597
19,0.951041022469594,0.8105339105339106,0.6818181818181819,0.7328726227333038,0.7777668564144636
20,0.9348175633889919,0.7212698412698414,0.6090909090909091,0.6548194014447885,0.7534144983752142
21,0.9470212327355185,0.8061111111111112,0.6672727272727274,0.7258479532163742,0.78525655530395
22,0.9449804164089878,0.7755555555555556,0.6654545454545455,0.7150877192982457,0.768317978332203
23,0.9571840857555143,0.8533333333333333,0.7236363636363636,0.7804953560371517,0.7852534660855057
24,0.9572253143681715,0.888888888888889,0.6872727272727273,0.7717234262125904,0.7937400020677373
25,0.9552051123479695,0.8583333333333332,0.6872727272727273,0.7611971104231166,0.8042860472440363
