x,accuracy,precision,recall,f1,pr_auc
1,0.8941043083900226,0.0,0.0,0.0,0.34718763629853855
2,0.8941043083900226,0.0,0.0,0.0,0.1395277132895766
3,0.8941043083900226,0.5571428571428572,0.1,0.15311942959001784,0.260426769623585
4,0.8920428777571635,0.5416666666666667,0.13818181818181816,0.19743589743589743,0.2613326184449553
5,0.8920428777571633,0.4416666666666666,0.1181818181818182,0.16410256410256407,0.3058979672535718
6,0.8879818594104307,0.4916666666666666,0.13818181818181816,0.19314019314019312,0.4038053508512226
7,0.8981653267367552,0.6857142857142857,0.19818181818181818,0.2736185383244207,0.36772411637177116
8,0.8961038961038963,0.6357142857142857,0.17636363636363636,0.2542046189105013,0.3453100060967731
9,0.906266749123892,0.6833333333333333,0.23272727272727275,0.32874458874458873,0.44509415624267695
10,0.9063079777365491,0.72,0.25636363636363635,0.3542368742368742,0.5293007895327202
11,0.9185322613894042,0.7666666666666666,0.35454545454545455,0.4614806246385193,0.6125618740343023
12,0.9124510410224695,0.7333333333333333,0.29818181818181816,0.38822055137844613,0.6103028546234488
13,0.9124510410224695,0.7328571428571429,0.2981818181818182,0.3966946778711484,0.6094205179879175
14,0.9185734900020615,0.8,0.3181818181818182,0.4238095238095238,0.6106117875604313
15,0.9287157287157288,0.8057142857142857,0.43272727272727274,0.5552941176470588,0.6619684831801617
16,0.9327973613687901,0.8866666666666667,0.4127272727272727,0.5592857142857143,0.6992334226007648
17,0.9429189857761286,0.8914285714285715,0.5054545454545455,0.6372165708388617,0.7095884958144747
18,0.9429396000824573,0.8616666666666667,0.5272727272727272,0.6494444444444444,0.7123640717013265
19,0.9449598021026594,0.8480952380952381,0.5654545454545454,0.6745975232198143,0.6751578211139375
20,0.9388785817357246,0.8095238095238095,0.5490909090909091,0.6498452012383901,0.7969359582847464
21,0.9531436817151102,0.9214285714285715,0.6072727272727273,0.7300653594771241,0.8122269439039579
22,0.9511234796949083,0.9214285714285715,0.5890909090909091,0.7156862745098039,0.8242453453886631
23,0.9552051123479695,0.9428571428571428,0.6090909090909091,0.7382352941176471,0.8285936179405017
24,0.9511440940012367,0.96,0.5509090909090909,0.6963725490196078,0.8365867803321623
25,0.9572459286745001,0.96,0.6090909090909091,0.7403267973856209,0.8304660437158139
