x,rmse,mae,r2
1,12.495857591561226,8.756666619628987,0.09078235306554236
2,12.405437135092198,8.606796972228441,0.10834034576402345
3,12.207122438050586,8.484360831723427,0.12942158627741954
4,11.960462970581878,8.254121645629942,0.15775413855641376
5,11.514519558002835,7.934374119473411,0.21854189200567728
6,11.352238172167308,7.732840676385321,0.24263725736402691
7,10.651904551797976,7.1154900192268205,0.3331999636508409
8,10.486330411021983,6.940908490169837,0.35582202415058645
9,10.189789578918324,6.7475015150964195,0.38604340088764244
10,9.8723515076069,6.5439157015359015,0.43249364928957085
11,9.411049096737761,6.3282910352829465,0.48396488672718974
12,9.044433775690878,6.142546318642809,0.5224526371573104
13,8.612380464364724,5.898359379892182,0.5703095773164238
14,8.359552670131666,5.785240841048771,0.5945327690598978
15,8.064796872819212,5.491544093237064,0.6241590105981636
16,7.806540362726157,5.361966409862697,0.647365519036881
17,7.551388918543239,5.119415329598622,0.6721207709016344
18,7.395306700410867,4.97878021330885,0.686764790196266
19,7.194345109969545,4.7957738323860095,0.7042251061574055
20,6.680543162149591,4.412725290553114,0.7424270946623576
21,6.535691361819232,4.265077558469377,0.7553417074792883
22,6.398347592782818,4.133173087718264,0.7657750852277359
23,6.208361306427051,3.9873314579192316,0.7792873577957965
24,5.9710419982580785,3.8488633383553337,0.7955434007238916
25,5.775859351448898,3.7067256152095807,0.8094259448751382
