x,rmse,mae,r2
1,12.500824878922916,8.759532066744706,0.08973264172530822
2,12.416275602574304,8.609620474260861,0.10664733276308802
3,12.22146418495329,8.493032860476134,0.12684500485493397
4,11.982484561209706,8.259769016286834,0.1536907730977673
5,11.531415735565579,7.934755438014163,0.21522187211984178
6,11.370095516166776,7.729927962892279,0.23932267224284134
7,10.666657571667853,7.120032390543031,0.330601021645292
8,10.506207770669635,6.9538459153717564,0.35281621219691633
9,10.210752918823786,6.757251898663879,0.3828733193600805
10,9.896979811741277,6.555392204332875,0.4289894482113244
11,9.437249908714197,6.342448776563118,0.48066390524847247
12,9.064441734633386,6.15254518926684,0.5198398321696995
13,8.630498215093905,5.907047087925336,0.5682256149606015
14,8.37632039423917,5.799526760840697,0.5926075257665018
15,8.079955059130146,5.502590036656173,0.6225109405565316
16,7.8233352536364436,5.384624971753313,0.6456050762797272
17,7.573333084874981,5.135065298401386,0.6701720944120197
18,7.416323052662307,5.000441152461054,0.6846675881717175
19,7.213116565769842,4.821103656942971,0.7023430709137513
20,6.698170375059203,4.428530658763803,0.740601433806698
21,6.555016166534125,4.282717948357009,0.753468210208428
22,6.416493477761273,4.15018648444363,0.7640419696168206
23,6.224038872527784,4.00377669834118,0.777855633438175
24,5.986362205601279,3.8688401922059668,0.7941602493218679
25,5.79009791467534,3.7281866928019722,0.80818371463766
