LinearRegression,RidgeRegression,Lasso,BayseanRidge
0.08973264172530822,0.09078235306554236,0.06190847137100151,0.0900583376886972
0.10664733276308802,0.10834034576402345,0.06188682628622446,0.10753898622919149
0.12684500485493397,0.12942158627741954,0.06795021859363277,0.1297694200439174
0.1536907730977673,0.15775413855641376,0.06943900460685368,0.15818716779751546
0.21522187211984178,0.21854189200567728,0.07283322302822051,0.2184289947486125
0.23932267224284134,0.24263725736402691,0.07283322302822051,0.24326964753720462
0.330601021645292,0.3331999636508409,0.15133392966763679,0.3339632668366474
0.35281621219691633,0.35582202415058645,0.15131698495835258,0.3571435811920572
0.3828733193600805,0.38604340088764244,0.15229290987401528,0.38702855549395687
0.4289894482113244,0.43249364928957085,0.2314873255034208,0.4338523831088443
0.48066390524847247,0.48396488672718974,0.2505737942914048,0.4848025678353216
0.5198398321696995,0.5224526371573104,0.25057364164870244,0.5232566858691622
0.5682256149606015,0.5703095773164238,0.2928139547619291,0.570939211237122
0.5926075257665018,0.5945327690598978,0.2945825944987676,0.5952760205435276
0.6225109405565316,0.6241590105981636,0.2947903369837458,0.6248505677064662
0.6456050762797272,0.647365519036881,0.31752781706749683,0.6481982124664339
0.6701720944120197,0.6721207709016344,0.31752781706749683,0.6728100076404957
0.6846675881717175,0.686764790196266,0.32013293109189317,0.6876352663852147
0.7023430709137513,0.7042251061574055,0.3251815827059296,0.7051371757923948
0.740601433806698,0.7424270946623576,0.40859744510036455,0.7431364340519551
0.753468210208428,0.7553417074792883,0.4322427598010691,0.7562507201912751
0.7640419696168206,0.7657750852277359,0.43895112394157587,0.7667814908429358
0.777855633438175,0.7792873577957965,0.4419990530493282,0.7801537894745687
0.7941602493218679,0.7955434007238916,0.449268490363058,0.7963234060134926
0.80818371463766,0.8094259448751382,0.4521726020824318,0.8100938577503503
