LinearRegression,RidgeRegression,Lasso,BayseanRidge
12.500824878922916,12.495857591561226,12.747404379051247,12.500658762695902
12.416275602574304,12.405437135092198,12.747588552626468,12.41265992001368
12.22146418495329,12.207122438050586,12.710119026932745,12.208013220538719
11.982484561209706,11.960462970581878,12.700760041812165,11.961810539065684
11.531415735565579,11.514519558002835,12.68013108386631,11.5199900767401
11.370095516166776,11.352238172167308,12.68013108386631,11.351355254962337
10.666657571667853,10.651904551797976,12.136833129106918,10.648824098634453
10.506207770669635,10.486330411021983,12.136920778111536,10.478491449837149
10.210752918823786,10.189789578918324,12.133048575360053,10.185082057325122
9.896979811741277,9.8723515076069,11.626778086656367,9.865947343134957
9.437249908714197,9.411049096737761,11.493971460696212,9.407237542532359
9.064441734633386,9.044433775690878,11.493972294426792,9.04026696745616
8.630498215093905,8.612380464364724,11.170417654724806,8.608237753736974
8.37632039423917,8.359552670131666,11.1573947567297,8.354148810521894
8.079955059130146,8.064796872819212,11.155829085156599,8.059088274580548
7.8233352536364436,7.806540362726157,10.984162784941674,7.798978173424208
7.573333084874981,7.551388918543239,10.984162784941674,7.543857362910187
7.416323052662307,7.395306700410867,10.985492700727555,7.386914162632246
7.213116565769842,7.194345109969545,10.951914311159937,7.1857628314277235
6.698170375059203,6.680543162149591,10.249874887973826,6.674122189720218
6.555016166534125,6.535691361819232,10.066227698332296,6.52678534665152
6.416493477761273,6.398347592782818,10.008842813140665,6.388357691025804
6.224038872527784,6.208361306427051,9.984240234199042,6.199555564996335
5.986362205601279,5.9710419982580785,9.92663370526263,5.963424228918586
5.79009791467534,5.775859351448898,9.905454017088028,5.76913023486124
