LinearRegression,RidgeRegression,Lasso,BayseanRidge
8.759532066744706,8.756666619628987,8.948488372856866,8.760107184229815
8.609620474260861,8.606796972228441,8.947506137096303,8.612814741646678
8.493032860476134,8.484360831723427,8.923214664237177,8.486116321109611
8.259769016286834,8.254121645629942,8.91562937944393,8.261280484450566
7.934755438014163,7.934374119473411,8.896993057893116,7.944014869554335
7.729927962892279,7.732840676385321,8.896993057893116,7.742391660124966
7.120032390543031,7.1154900192268205,8.411426637996929,7.1161812335608845
6.9538459153717564,6.940908490169837,8.407584515197346,6.936154781499913
6.757251898663879,6.7475015150964195,8.391609452912446,6.746234725443946
6.555392204332875,6.5439157015359015,8.02661523612423,6.541930270091607
6.342448776563118,6.3282910352829465,7.926591614889846,6.327420667819906
6.15254518926684,6.142546318642809,7.926592779061371,6.141006118637257
5.907047087925336,5.898359379892182,7.747234729998871,5.897945886016897
5.799526760840697,5.785240841048771,7.749164524666722,5.7793526240449635
5.502590036656173,5.491544093237064,7.737317241270579,5.486549235260316
5.384624971753313,5.361966409862697,7.640440667073953,5.350377817708163
5.135065298401386,5.119415329598622,7.640440667073953,5.1141191015314735
5.000441152461054,4.97878021330885,7.5849934514459205,4.968552015097608
4.821103656942971,4.7957738323860095,7.571601963703664,4.783032631956426
4.428530658763803,4.412725290553114,7.081694440428512,4.406381564407033
4.282717948357009,4.265077558469377,6.811397805790866,4.256432009676757
4.15018648444363,4.133173087718264,6.752813303817959,4.123523157618484
4.00377669834118,3.9873314579192316,6.709121530993999,3.976194385519193
3.8688401922059668,3.8488633383553337,6.670848168583483,3.8369461794518385
3.7281866928019722,3.7067256152095807,6.6688096378924495,3.695034961055113
