Preparation,Application,Examination,Overall,course,min_category,atrisk
59.06666666666667,89.4,73.30574555403557,59.06666666666667,winter2025,Preparation,False
100.0,92.0,96.51162790697674,92.0,winter2025,Application,False
67.2,60.4,81.35841313269493,60.4,winter2025,Application,False
92.0,99.0,99.70588235294117,92.0,winter2025,Preparation,False
88.61333333333332,98.583,88.29958960328318,88.29958960328318,winter2025,Examination,False
82.13333333333334,92.71700000000001,77.93160054719561,77.93160054719561,winter2025,Examination,False
100.0,100.0,95.15116279069767,95.15116279069767,winter2025,Examination,False
100.0,100.0,100.0,100.0,winter2025,Preparation,False
87.2,82.0,97.98837209302326,82.0,winter2025,Application,False
95.66666666666669,96.0,75.0,75.0,winter2025,Examination,False
75.06666666666666,100.0,96.51162790697674,75.06666666666666,winter2025,Preparation,False
47.49333333333333,49.68299999999999,44.097127222982216,44.097127222982216,winter2025,Examination,True
90.13333333333333,93.5,91.96238030095759,90.13333333333333,winter2025,Preparation,False
92.0,98.0,97.67441860465117,92.0,winter2025,Preparation,False
92.0,98.0,97.44186046511628,92.0,winter2025,Preparation,False
95.66666666666669,96.5,94.01436388508891,94.01436388508891,winter2025,Examination,False
99.34,100.0,99.83720930232559,99.34,winter2025,Preparation,False
92.0,80.0,95.04103967168263,80.0,winter2025,Application,False
99.66666666666669,96.0,96.18604651162791,96.0,winter2025,Application,False
95.66666666666669,99.0,95.34883720930233,95.34883720930233,winter2025,Examination,False
96.0,99.0,98.51162790697674,96.0,winter2025,Preparation,False
96.0,99.0,99.80232558139534,96.0,winter2025,Preparation,False
96.33333333333334,93.2,98.2329001367989,93.2,winter2025,Application,False
96.0,100.0,99.80232558139534,96.0,winter2025,Preparation,False
88.0,100.0,99.87209302325581,88.0,winter2025,Preparation,False
42.66666666666666,39.45,0.0,0.0,winter2025,Examination,True
96.0,100.0,94.85704514363886,94.85704514363886,winter2025,Examination,False
96.0,99.0,96.33720930232559,96.0,winter2025,Preparation,False
96.0,97.0,88.5403556771546,88.5403556771546,winter2025,Examination,False
96.0,98.0,97.47674418604652,96.0,winter2025,Preparation,False
87.2,87.35,92.82558139534883,87.2,winter2025,Preparation,False
100.0,100.0,95.9155266757866,95.9155266757866,winter2025,Examination,False
100.0,100.0,97.67441860465117,97.67441860465117,winter2025,Examination,False
