Midterm,Final,Project 1,Project 2,Programming Assignment 1,Programming Assignment 2,Programming Assignment 3,Programming Assignment 4,Programming Assignment 5,Programming Assignment 6,Reading Quiz 2025-01-08,Reading Quiz 2025-01-10,Reading Quiz 2025-01-13,Reading Quiz 2025-01-15,Reading Quiz 2025-01-17,Reading Quiz 2025-01-22,Reading Quiz 2025-01-24,Reading Quiz 2025-01-27,Reading Quiz 2025-01-29,Reading Quiz 2025-01-31,Reading Quiz 2025-02-03,Reading Quiz 2025-02-05,Reading Quiz 2025-02-07,Reading Quiz 2025-02-10,Reading Quiz 2025-02-12,Reading Quiz 2025-02-14,Reading Quiz 2025-02-19,Reading Quiz 2025-02-21,Reading Quiz 2025-02-24,Reading Quiz 2025-02-26,Reading Quiz 2025-02-28,Reading Quiz 2025-03-03,Reading Quiz 2025-03-05,Reading Quiz 2025-03-07,Reading Quiz 2025-03-10,Preparation,Application,Examination,Total,quarter,year,course,exam_type,remote,min_category,atrisk
1.0,0.9534883720930233,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.0,98.0,97.67441860465117,92.0,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.9488372093023255,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,92.0,98.0,97.44186046511628,92.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.9294117647058824,0.9437209302325581,0.9,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.66666666666669,96.5,94.01436388508891,94.01436388508891,winter,2025,winter2025,inperson,in person,Examination,False
1.0,0.9967441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.34,100.0,99.83720930232559,99.34,winter,2025,winter2025,inperson,in person,Preparation,False
0.9411764705882353,0.9534883720930233,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.0,80.0,95.04103967168263,80.0,winter,2025,winter2025,inperson,in person,Application,False
1.0,0.9237209302325581,0.95,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.66666666666669,96.0,96.18604651162791,96.0,winter,2025,winter2025,inperson,in person,Application,False
1.0,0.9069767441860465,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,95.66666666666669,99.0,95.34883720930233,95.34883720930233,winter,2025,winter2025,inperson,in person,Examination,False
1.0,0.9702325581395349,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,99.0,98.51162790697674,96.0,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.9960465116279069,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,99.0,99.80232558139534,96.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.9411764705882353,0.9960465116279069,0.71,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.33333333333334,93.2,98.2329001367989,93.2,winter,2025,winter2025,inperson,in person,Application,False
1.0,0.9960465116279069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,100.0,99.80232558139534,96.0,winter,2025,winter2025,inperson,in person,Preparation,False
1.0,0.9974418604651163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,88.0,100.0,99.87209302325581,88.0,winter,2025,winter2025,inperson,in person,Preparation,False
0.0,0.0,0.1,0.0,0.0,1.0,0.745,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,42.66666666666666,39.45,0.0,0.0,winter,2025,winter2025,inperson,in person,Examination,True
0.9941176470588234,0.9030232558139535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,100.0,94.85704514363886,94.85704514363886,winter,2025,winter2025,inperson,in person,Examination,False
