x,ARDRegression,AdaBoostRegressor,BaggingRegressor,BayesianRidge,CCA,DecisionTreeRegressor,DummyRegressor,ElasticNet,ElasticNetCV,ExtraTreeRegressor,ExtraTreesRegressor,GammaRegressor,GaussianProcessRegressor,GradientBoostingRegressor,HistGradientBoostingRegressor,HuberRegressor,IsotonicRegression,KNeighborsRegressor,KernelRidge,Lars,LarsCV,Lasso,LassoCV,LassoLars,LassoLarsCV,LassoLarsIC,LinearRegression,LinearSVR,MLPRegressor,MultiTaskElasticNet,MultiTaskElasticNetCV,MultiTaskLasso,MultiTaskLassoCV,NuSVR,OrthogonalMatchingPursuit,OrthogonalMatchingPursuitCV,PLSCanonical,PLSRegression,PassiveAggressiveRegressor,PoissonRegressor,QuantileRegressor,RANSACRegressor,RadiusNeighborsRegressor,RandomForestRegressor,Ridge,RidgeCV,SGDRegressor,SVR,TheilSenRegressor,TransformedTargetRegressor,TweedieRegressor
1,8.933961278379154,10.043036034433381,8.96316981302127,8.933961278379154,,8.986647616582687,9.286620183354339,9.275378694918356,8.929691211217095,8.986647616582683,8.955298769913574,9.260641972945,8.97386673183485,8.986651721521904,9.286620183354339,8.386997681616075,8.929360658188838,8.94064408573352,12.390215700463836,8.919406850747105,8.919406850747105,9.286620183354339,8.919654825898737,9.286620183354339,8.919406850747105,8.919406850747105,8.919406850747105,9.04777615064871,60.34544857321417,,,,,8.613440971719893,8.919406850747107,,,,9.498445389579155,8.967262578531463,,9.125799575827624,9.28662018335434,8.953233341437622,8.933465412754146,8.933465412754146,8.891954980345336,8.394432069559802,9.455061559162878,8.919406850747105,9.259376810765517
2,8.909612545071662,9.820840777275581,8.956786637236593,8.914066809606675,,8.997337697795404,9.286620183354339,9.27536944520801,8.91183864401596,8.967033314497005,8.968752354656349,9.25253724813482,9.002517962511481,8.99733557934601,9.286620183354339,8.348180519117806,,8.973240737033134,10.959882082359512,8.898216356837603,8.898216356837603,9.286620183354339,8.89821641324178,9.286620183354339,8.898216356837603,8.898216356837603,8.898216356837603,9.022229697541436,45.694900305800964,,,,,8.608126129545482,8.919406850747107,8.898216356837603,,8.898216356837603,8.768178975369144,8.92299296975619,,9.11322338934281,9.171853571931129,8.914494516810198,8.90254093020786,8.902540930207863,8.944309849106592,8.369185214307576,9.558368560269551,8.898216356837603,9.250860002068155
3,8.817239650456184,10.096423735020032,8.860306446166625,8.812013236972174,,8.866109533331727,9.286620183354339,9.27536944520801,8.787571279752925,8.880063898476873,8.8350974040229,9.250271592891778,8.887884488417948,8.866134940673117,9.286620183354339,8.201929374458865,,8.932109238964994,9.400311071830988,8.76326241003902,8.76326241003902,9.286620183354339,8.768749859651548,9.286620183354339,8.76326241003902,8.76326241003902,8.76326241003902,8.471077111223169,29.32958028015421,,,,,8.50790148541866,8.919406850747107,8.763262410039022,,8.761761528962824,8.490199939267933,8.83940852518702,,9.12463435812577,9.232551192415235,8.809124322733782,8.786872250678446,8.786872250678448,8.865811390278298,8.259961509955644,8.95385698642027,8.76326241003902,9.248811876878941
4,8.746182570606013,9.875830577681535,8.780400398336182,8.716295037964533,,8.80148696664066,9.286620183354339,9.27536944520801,8.682631169079267,8.791805091802527,8.765257099552231,9.24036640193751,8.862956686466992,8.782268530755008,9.161949134752927,8.111805952908465,,8.801550902314329,9.096666291025894,8.642780935084463,8.642780935084463,9.286620183354339,8.650386644878749,9.286620183354339,8.642780935084463,8.642780935084463,8.642780935084463,8.268370915202473,20.269369947267823,,,,,8.421561511938586,8.919406850747109,8.642780935084463,,8.640077395865015,8.830768297263775,8.726309731414327,,9.062802592733881,9.062416396174811,8.71854063755581,8.665815180820115,8.665815180820113,8.711464350344169,8.168391191121001,8.829117341733497,8.642780935084463,9.237991022736665
5,8.720350189483792,10.013176633537851,8.908313293373123,8.637208443054408,,9.126517391802599,9.286620183354339,9.274335459034894,8.618819215460425,9.161956424830313,9.071020902753986,9.224099748674513,9.17410026523355,8.97880036885436,8.95096273059036,8.142602676589366,,8.998930227725092,8.971251562243175,8.584228665397372,8.60067173951939,9.286620183354339,8.607658783480204,9.286620183354339,8.60067173951939,8.634748101725183,8.584228665397372,8.304780788641242,18.30589918761325,,,,,8.39143185841657,8.920012364851106,8.639338194084528,,8.579557722808566,9.326794741943786,8.624040384257782,,9.115492627365958,9.014399011120904,8.904686783601516,8.59831392968869,8.66249022618449,8.594012983554354,8.223882336122387,8.828426485889239,8.584228665397372,9.22119389469662
6,8.563848065608777,9.800149777570764,8.796775440489084,8.471538860667085,,9.079519446014148,9.286620183354339,9.255284752984348,8.490638569996358,9.08863087261932,9.012934163773743,9.19595385507792,9.378344708019295,8.846202701783774,8.69989184200428,8.026745400033558,,8.757545818844397,8.822326620755343,8.44624871699215,8.446979129465518,9.286620183354339,8.461020666781696,9.286620183354339,8.446979129465518,8.51179663997075,8.44624871699215,8.103625624136958,11.628689031563656,,,,,8.360089535973223,9.010392628975199,8.5410040390499,,8.43517980287801,9.216531040028709,8.461563711857544,,8.60152052774507,8.820844989882252,8.857912096633859,8.455138351459293,8.491917363118091,8.543097602782705,8.209786515027195,8.632857623396237,8.44624871699215,9.19135174645039
7,8.541013323866014,9.8041821001246,8.7524801305758,8.43466821294315,,9.095261757686803,9.286620183354339,9.255284752984348,8.452072174708482,9.04322282071649,8.976244865369067,9.191910690767521,9.34863867821163,8.7597687509909,8.649148081078831,7.976542128965003,,8.688771210192016,8.59254139858193,8.397164278097238,8.40276175878493,9.286620183354339,8.414080939848068,9.286620183354339,8.40276175878493,8.397164278097238,8.397164278097236,7.968892415520853,10.031137967641515,,,,,8.362052554762343,9.010392628975199,8.611521675034906,,8.3850586685176,9.496243239891152,8.426967431573905,,8.903404816958401,8.69678968913014,8.750469304298457,8.410586521065149,8.452439601972168,8.330413183791524,8.215681273296303,8.457011523614677,8.397164278097236,9.1878795888806
8,8.350851922886271,9.508853998545481,8.619161201727835,8.24285245983199,,8.967837854202738,9.286620183354339,9.240193129575717,8.278752346661888,9.023841178256445,8.743794512392574,9.160684044946839,10.572514921473712,8.454584075650546,8.195106563513665,7.776702829609695,,8.334501760674007,8.31267724981527,8.191979208956344,8.191979208956344,9.286620183354339,8.200658542830658,9.286620183354339,8.191979208956344,8.238574733810799,8.191979208956342,7.733978493990823,9.322590536018183,,,,,8.188283753652271,9.119126784213467,8.361259230928638,,8.178500344186602,8.99019711330617,8.227095078852782,,8.469178660224856,,8.445572947065731,8.205703354954764,8.315674466290567,8.13933031741033,7.915651443286267,8.133756950215652,8.191979208956342,9.15525488706661
9,8.394851070152134,9.681996618181708,8.404319409300959,8.226876475502447,,9.101625760193965,9.286620183354339,9.236741019289976,8.284080182719416,9.14715610103558,8.903723858871057,9.145076415151312,13.238524043523551,8.512195644453074,8.195106563513665,7.7454749771147835,,8.530076898782344,8.269131913278343,8.176580736655808,8.178439519322087,9.286620183354339,8.187237777598183,9.286620183354339,8.178439519322087,8.233153010811643,8.176580736655808,7.630194743878114,8.43728360937876,,,,,8.170824854872057,9.119126784213467,8.575425831865084,,8.160193217038037,9.447107528284956,8.19858282304303,,9.155654086616533,,8.525772535969283,8.187929753884035,8.353049320496025,8.00111807154136,7.924685678101599,7.967659430914077,8.176580736655808,9.13868805596013
10,8.45562373434864,9.66256236354906,8.687227743061449,8.249403635809998,,9.249783570744771,9.286620183354339,9.233865406263309,8.322756620938517,9.431194090996758,9.207466755819663,9.127272395637261,16.696463243182883,8.648942159886147,8.147494619223703,7.844036743870032,,8.776701584904188,8.211638590326436,8.21386247877228,8.256161649106366,9.286620183354339,8.262131975775743,9.286620183354339,8.256161649106366,8.312252524706674,8.213862478772281,7.654456520506654,7.992995010214374,,,,,8.171413630690015,9.119126784213467,8.796912277321965,,8.17773837533647,8.613097240415822,8.218543990328447,,8.186558597670587,,8.747177877349786,8.219684399161402,8.320037675463038,7.872084379688301,7.941907588522443,7.891874825836976,8.213862478772281,9.121253724791876
