LinearSVC,NoninearSVC,QuadraticDiscriminantAnalysis
0.5519274376417233,0.3063939855048877,0.3357907213922251
0.3869409122774945,0.2529110367769677,0.2818331831567126
0.31131650939945865,0.260426769623585,0.3330497480135472
0.18427744356891038,0.2613326184449553,0.37733253901256847
0.2599071213523264,0.3058979672535718,0.4339959295158474
0.3039448629560422,0.4038053508512226,0.433815856613707
0.4509330160978421,0.36772411637177116,0.45963978746964107
0.4953321606276382,0.34533019071701293,0.4418102051855378
0.6270833083837786,0.4395399412748845,0.5278557131525508
0.6466202884124056,0.5319015131555027,0.5613730174049019
0.6555478257892283,0.6125618740343023,0.5686426395353964
0.6986488055327433,0.6123351284025256,0.6045479840334577
0.7258223895734434,0.6094205179879175,0.6117105618074767
0.6998172307351984,0.6106117875604313,0.6157343884548366
0.7554313779253611,0.6620045582162366,0.689846180632913
0.7516068850415648,0.6992334226007648,0.7119737791676914
0.7672231208830391,0.7095884958144747,0.7256464261502712
0.7925648682113597,0.7123640717013265,0.7220107599543004
0.7777668564144636,0.6751578211139375,0.7197018629980236
0.7534144983752142,0.7969359582847464,0.718672629753827
0.78525655530395,0.8122269439039579,0.7596050335445536
0.768317978332203,0.8242453453886631,0.7627582871311032
0.7852534660855057,0.8285936179405017,0.7626986044624744
0.7937400020677373,0.8365867803321623,0.7463500880849292
0.8042860472440363,0.8304660437158139,0.7382822512543509
