LinearSVC,NoninearSVC,QuadraticDiscriminantAnalysis
0.8961451247165533,0.8941043083900226,0.8124716553287982
0.8961451247165533,0.8941043083900226,0.8409606266749124
0.8961451247165533,0.8941043083900226,0.8552463409606267
0.887981859410431,0.8920428777571635,0.8511440940012369
0.887981859410431,0.8920428777571633,0.826633683776541
0.887981859410431,0.8879818594104307,0.8185116470830757
0.9002267573696144,0.8981653267367552,0.8205730777159349
0.8981859410430839,0.8961038961038963,0.8104720676149247
0.9205112347969491,0.906266749123892,0.8267779839208412
0.9225520511234798,0.9063079777365491,0.843104514533086
0.9185116470830756,0.9185322613894042,0.8552669552669553
0.9205112347969491,0.9124510410224695,0.853164296021439
0.9307359307359307,0.9124510410224695,0.8552051123479695
0.9348381776953205,0.9185734900020615,0.8592661306947023
0.9531024531024531,0.9287157287157288,0.8633889919604204
0.9470006184291899,0.9327973613687901,0.8695320552463409
0.949020820449392,0.9429189857761286,0.8654710368996084
0.9490414347557206,0.9429396000824573,0.8695938981653267
0.951041022469594,0.9449598021026594,0.871655328798186
0.9348175633889919,0.9388785817357246,0.8757369614512471
0.9470212327355185,0.9531436817151102,0.8858792001649144
0.9449804164089878,0.9511234796949083,0.8919398062255205
0.9571840857555143,0.9552051123479695,0.8940012368583797
0.9572253143681715,0.9511440940012367,0.9042053184910328
0.9552051123479695,0.9572459286745001,0.9021645021645022
