LinearSVC,NoninearSVC,QuadraticDiscriminantAnalysis
0.0,0.0,0.2
0.0,0.0,0.27272727272727276
0.0,0.1,0.35090909090909095
0.06,0.13818181818181816,0.5072727272727272
0.06,0.1181818181818182,0.6236363636363637
0.04,0.13818181818181816,0.6254545454545455
0.12000000000000002,0.19818181818181818,0.6254545454545455
0.18,0.17636363636363636,0.6418181818181818
0.3490909090909091,0.23272727272727275,0.6818181818181819
0.4290909090909091,0.25636363636363635,0.7218181818181819
0.43272727272727274,0.35454545454545455,0.8018181818181818
0.429090909090909,0.29818181818181816,0.82
0.4709090909090909,0.2981818181818182,0.8400000000000001
0.5327272727272727,0.3181818181818182,0.86
0.6036363636363636,0.43272727272727274,0.8800000000000001
0.5854545454545454,0.4127272727272727,0.8418181818181818
0.5836363636363636,0.5054545454545455,0.86
0.6454545454545454,0.5272727272727272,0.86
0.6818181818181819,0.5654545454545454,0.86
0.6090909090909091,0.5490909090909091,0.8799999999999999
0.6672727272727274,0.6072727272727273,0.8418181818181818
0.6654545454545455,0.5890909090909091,0.8
0.7236363636363636,0.6090909090909091,0.82
0.6872727272727273,0.5509090909090909,0.761818181818182
0.6872727272727273,0.6090909090909091,0.7418181818181818
