LinearSVC,NoninearSVC,QuadraticDiscriminantAnalysis
0.0,0.0,0.13428571428571429
0.0,0.0,0.2768253968253968
0.0,0.15311942959001784,0.34537254901960784
0.06,0.19743589743589743,0.4264550264550264
0.06,0.16410256410256407,0.44807829851308123
0.04444444444444444,0.19314019314019312,0.44034841662360674
0.1893939393939394,0.2736185383244207,0.4376023391812865
0.23440285204991085,0.2542046189105013,0.41799320435476045
0.4741984486102133,0.32874458874458873,0.4571756539147843
0.5384687208216621,0.3542368742368742,0.49476608187134496
0.5262155388471179,0.4614806246385193,0.5485241790729596
0.5280718954248366,0.38822055137844613,0.5505185185185185
0.584607843137255,0.3966946778711484,0.5600459406775197
0.6256209150326797,0.4238095238095238,0.5798719842998281
0.722156862745098,0.5552941176470588,0.5833118833118833
0.6917698658410733,0.5592857142857143,0.5773731714908186
0.6976470588235294,0.6372165708388617,0.5755804544039839
0.7219814241486069,0.6494444444444444,0.5805976430976431
0.7328726227333038,0.6745975232198143,0.5845767136089716
0.6548194014447885,0.6498452012383901,0.5955300127713921
0.7258479532163742,0.7300653594771241,0.6107035330261137
0.7150877192982457,0.7156862745098039,0.6136589336589336
0.7804953560371517,0.7382352941176471,0.6235445311084911
0.7717234262125904,0.6963725490196078,0.6281909814323609
0.7611971104231166,0.7403267973856209,0.6123347666825927
