LinearSVC,NoninearSVC,QuadraticDiscriminantAnalysis
0.0,0.0,0.10177777777777777
0.0,0.0,0.37531468531468526
0.0,0.5571428571428572,0.3771428571428571
0.06,0.5416666666666667,0.3910457516339869
0.06,0.4416666666666666,0.3684080267558528
0.05,0.4916666666666666,0.3602564102564102
0.6666666666666667,0.6857142857142857,0.3512087912087912
0.5,0.6357142857142857,0.31668931068931067
0.77,0.6833333333333333,0.35235222294045826
0.7476190476190476,0.72,0.38296918767507004
0.736111111111111,0.7666666666666666,0.43246621815881775
0.6992857142857142,0.7333333333333333,0.427921568627451
0.7885714285714286,0.7328571428571429,0.4315211640211641
0.7964285714285715,0.8,0.4512169312169312
0.9142857142857143,0.8057142857142857,0.44337187866599626
0.865079365079365,0.8866666666666667,0.4455882352941177
0.8761904761904763,0.8914285714285715,0.43647574819401447
0.8253968253968254,0.8616666666666667,0.44082328583607355
0.8105339105339106,0.8480952380952381,0.4449965493443754
0.7212698412698414,0.8095238095238095,0.45105544610188575
0.8061111111111112,0.9214285714285715,0.48209150326797384
0.7755555555555556,0.9214285714285715,0.5006746031746031
0.8533333333333333,0.9428571428571428,0.5094556243550052
0.888888888888889,0.96,0.5442105263157895
0.8583333333333332,0.96,0.5244200244200243
